
BUSES AND NODES IN ACTIVE CIRCUIT: lvtest

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  11.000          (           NA,            NA )     No           3          1    2    3 
"1"           0.416          ( 390872.663   , 392887.379   )     No           3          1    2    3 
"2"           0.416          ( 390871.596   , 392887.638   )     No           3          1    2    3 
"3"           0.416          ( 390871.481   , 392887.643   )     No           3          1    2    3 
"4"           0.416          ( 390871.379   , 392887.608   )     No           3          1    2    3 
"5"           0.416          ( 390871.305   , 392887.55    )     No           3          1    2    3 
"6"           0.416          ( 390871.234   , 392887.42    )     No           3          1    2    3 
"7"           0.416          ( 390868.779   , 392877.637   )     No           3          1    2    3 
"8"           0.416          ( 390868.753   , 392877.186   )     No           3          1    2    3 
"9"           0.416          ( 390868.753   , 392876.81    )     No           3          1    2    3 
"10"          0.416          ( 390868.804   , 392876.484   )     No           3          1    2    3 
"11"          0.416          ( 390868.904   , 392876.259   )     No           3          1    2    3 
"12"          0.416          ( 390869.079   , 392876.108   )     No           3          1    2    3 
"13"          0.416          ( 390869.18    , 392876.008   )     No           3          1    2    3 
"14"          0.416          ( 390869.5     , 392875.857   )     No           3          1    2    3 
"15"          0.416          ( 390872.292   , 392875.208   )     No           3          1    2    3 
"16"          0.416          ( 390872.314   , 392875.302   )     No           3          1    2    3 
"17"          0.416          ( 390875.678   , 392874.422   )     No           3          1    2    3 
"18"          0.416          ( 390872.316   , 392875.346   )     No           3          1    2    3 
"19"          0.416          ( 390875.907   , 392874.353   )     No           3          1    2    3 
"20"          0.416          ( 390872.312   , 392875.392   )     No           3          1    2    3 
"21"          0.416          ( 390876.142   , 392874.223   )     No           3          1    2    3 
"22"          0.416          ( 390872.303   , 392875.433   )     No           3          1    2    3 
"23"          0.416          ( 390876.44    , 392873.903   )     No           3          1    2    3 
"24"          0.416          ( 390872.288   , 392875.482   )     No           3          1    2    3 
"25"          0.416          ( 390877.003   , 392873.341   )     No           3          1    2    3 
"26"          0.416          ( 390872.263   , 392875.532   )     No           3          1    2    3 
"27"          0.416          ( 390880.364   , 392878.196   )     No           3          1    2    3 
"28"          0.416          ( 390884.19    , 392866.433   )     No           3          1    2    3 
"29"          0.416          ( 390872.239   , 392875.581   )     No           3          1    2    3 
"30"          0.416          ( 390881.306   , 392879.522   )     No           3          1    2    3 
"31"          0.416          ( 390879.232   , 392879.305   )     No           3          1    2    3 
"32"          0.416          ( 390886.111   , 392864.602   )     No           3          1    2    3 
"33"          0.416          ( 390872.17    , 392875.71    )     No           3          1    2    3 
"34"          0.416          ( 390885       , 392880       )     No           3          1    2    3 
"35"          0.416          ( 390879.208   , 392879.353   )     No           3          1    2    3 
"36"          0.416          ( 390890.1695  , 392868.642   )     No           3          1    2    3 
"37"          0.416          ( 390891.919   , 392859.065   )     No           3          1    2    3 
"38"          0.416          ( 390872.092   , 392875.822   )     No           3          1    2    3 
"39"          0.416          ( 390879.183   , 392879.426   )     No           3          1    2    3 
"40"          0.416          ( 390890.444   , 392868.351   )     No           3          1    2    3 
"41"          0.416          ( 390891.41    , 392869.955   )     No           3          1    2    3 
"42"          0.416          ( 390895.963   , 392855.237   )     No           3          1    2    3 
"43"          0.416          ( 390891.775   , 392858.903   )     No           3          1    2    3 
"44"          0.416          ( 390872.073   , 392875.85    )     No           3          1    2    3 
"45"          0.416          ( 390879.159   , 392879.522   )     No           3          1    2    3 
"46"          0.416          ( 390890.571   , 392868.223   )     No           3          1    2    3 
"47"          0.416          ( 390893       , 392874       )     No           3          1    2    3 
"48"          0.416          ( 390899.026   , 392852.352   )     No           3          1    2    3 
"49"          0.416          ( 390891.742   , 392858.804   )     No           3          1    2    3 
"50"          0.416          ( 390872.038   , 392875.883   )     No           3          1    2    3 
"51"          0.416          ( 390879.159   , 392879.763   )     No           3          1    2    3 
"52"          0.416          ( 390890.754   , 392868.168   )     No           3          1    2    3 
"53"          0.416          ( 390899.475   , 392851.944   )     No           3          1    2    3 
"54"          0.416          ( 390899.491   , 392852.791   )     No           3          1    2    3 
"55"          0.416          ( 390891.759   , 392858.689   )     No           3          1    2    3 
"56"          0.416          ( 390871.964   , 392875.93    )     No           3          1    2    3 
"57"          0.416          ( 390879.232   , 392879.956   )     No           3          1    2    3 
"58"          0.416          ( 390890.936   , 392868.168   )     No           3          1    2    3 
"59"          0.416          ( 390901.469   , 392850.053   )     No           3          1    2    3 
"60"          0.416          ( 390899.548   , 392852.823   )     No           3          1    2    3 
"61"          0.416          ( 390891.775   , 392858.59    )     No           3          1    2    3 
"62"          0.416          ( 390871.892   , 392875.96    )     No           3          1    2    3 
"63"          0.416          ( 390879.907   , 392880.679   )     No           3          1    2    3 
"64"          0.416          ( 390891.045   , 392868.168   )     No           3          1    2    3 
"65"          0.416          ( 390901.87    , 392849.664   )     No           3          1    2    3 
"66"          0.416          ( 390907.23    , 392855.97    )     No           3          1    2    3 
"67"          0.416          ( 390899.618   , 392852.847   )     No           3          1    2    3 
"68"          0.416          ( 390891.825   , 392858.508   )     No           3          1    2    3 
"69"          0.416          ( 390871.812   , 392875.983   )     No           3          1    2    3 
"70"          0.416          ( 390881       , 392884       )     No           3          1    2    3 
"71"          0.416          ( 390891.246   , 392868.241   )     No           3          1    2    3 
"72"          0.416          ( 390906.932   , 392845.428   )     No           3          1    2    3 
"73"          0.416          ( 390907       , 392860       )     No           3          1    2    3 
"74"          0.416          ( 390907       , 392860       )     No           3          1    2    3 
"75"          0.416          ( 390899.793   , 392852.887   )     No           3          1    2    3 
"76"          0.416          ( 390891.972   , 392858.324   )     No           3          1    2    3 
"77"          0.416          ( 390871.436   , 392876.083   )     No           3          1    2    3 
"78"          0.416          ( 390892.048   , 392868.97    )     No           3          1    2    3 
"79"          0.416          ( 390908.613   , 392843.857   )     No           3          1    2    3 
"80"          0.416          ( 390899.889   , 392852.926   )     No           3          1    2    3 
"81"          0.416          ( 390892.512   , 392857.808   )     No           3          1    2    3 
"82"          0.416          ( 390870.935   , 392876.183   )     No           3          1    2    3 
"83"          0.416          ( 390896       , 392870       )     No           3          1    2    3 
"84"          0.416          ( 390909.025   , 392843.57    )     No           3          1    2    3 
"85"          0.416          ( 390899.982   , 392852.987   )     No           3          1    2    3 
"86"          0.416          ( 390893.558   , 392856.82    )     No           3          1    2    3 
"87"          0.416          ( 390870.634   , 392876.259   )     No           3          1    2    3 
"88"          0.416          ( 390909.878   , 392843.014   )     No           3          1    2    3 
"89"          0.416          ( 390900.06    , 392853.057   )     No           3          1    2    3 
"90"          0.416          ( 390893.775   , 392856.555   )     No           3          1    2    3 
"91"          0.416          ( 390870.525   , 392876.285   )     No           3          1    2    3 
"92"          0.416          ( 390910.741   , 392842.593   )     No           3          1    2    3 
"93"          0.416          ( 390893.803   , 392856.496   )     No           3          1    2    3 
"94"          0.416          ( 390870.492   , 392876.296   )     No           3          1    2    3 
"95"          0.416          ( 390911.23    , 392842.324   )     No           3          1    2    3 
"96"          0.416          ( 390893.8     , 392856.41    )     No           3          1    2    3 
"97"          0.416          ( 390870.458   , 392876.31    )     No           3          1    2    3 
"98"          0.416          ( 390911.556   , 392842.152   )     No           3          1    2    3 
"99"          0.416          ( 390893.781   , 392856.378   )     No           3          1    2    3 
"100"         0.416          ( 390870.383   , 392876.359   )     No           3          1    2    3 
"101"         0.416          ( 390911.997   , 392841.898   )     No           3          1    2    3 
"102"         0.416          ( 390890.706   , 392852.332   )     No           3          1    2    3 
"103"         0.416          ( 390870.157   , 392876.534   )     No           3          1    2    3 
"104"         0.416          ( 390912.282   , 392841.942   )     No           3          1    2    3 
"105"         0.416          ( 390912.282   , 392841.72    )     No           3          1    2    3 
"106"         0.416          ( 390890.64    , 392852.121   )     No           3          1    2    3 
"107"         0.416          ( 390912.63    , 392841.967   )     No           3          1    2    3 
"108"         0.416          ( 390912.43    , 392841.6     )     No           3          1    2    3 
"109"         0.416          ( 390890.511   , 392851.689   )     No           3          1    2    3 
"110"         0.416          ( 390913.032   , 392842.011   )     No           3          1    2    3 
"111"         0.416          ( 390917.463   , 392836.015   )     No           3          1    2    3 
"112"         0.416          ( 390883.277   , 392842.144   )     No           3          1    2    3 
"113"         0.416          ( 390913.637   , 392842.13    )     No           3          1    2    3 
"114"         0.416          ( 390918.004   , 392835.491   )     No           3          1    2    3 
"115"         0.416          ( 390876.523   , 392833.895   )     No           3          1    2    3 
"116"         0.416          ( 390914.4     , 392842.345   )     No           3          1    2    3 
"117"         0.416          ( 390918.765   , 392836.293   )     No           3          1    2    3 
"118"         0.416          ( 390915.488   , 392832.839   )     No           3          1    2    3 
"119"         0.416          ( 390875.778   , 392833.236   )     No           3          1    2    3 
"120"         0.416          ( 390914.924   , 392842.567   )     No           3          1    2    3 
"121"         0.416          ( 390918.949   , 392836.229   )     No           3          1    2    3 
"122"         0.416          ( 390919.135   , 392836.684   )     No           3          1    2    3 
"123"         0.416          ( 390910.895   , 392828.11    )     No           3          1    2    3 
"124"         0.416          ( 390875.199   , 392832.8     )     No           3          1    2    3 
"125"         0.416          ( 390915.64    , 392842.933   )     No           3          1    2    3 
"126"         0.416          ( 390919.115   , 392836.199   )     No           3          1    2    3 
"127"         0.416          ( 390920.876   , 392838.518   )     No           3          1    2    3 
"128"         0.416          ( 390908.834   , 392825.979   )     No           3          1    2    3 
"129"         0.416          ( 390874.662   , 392832.48    )     No           3          1    2    3 
"130"         0.416          ( 390916.403   , 392843.351   )     No           3          1    2    3 
"131"         0.416          ( 390919.234   , 392836.205   )     No           3          1    2    3 
